
No.,A,B,C,D,E,F,Bonus
1,4,5,9,11,37,40,7
2,6,14,25,33,40,44,30
3,3,8,17,30,33,34,28
4,13,19,21,24,34,35,26
5,3,6,21,30,34,35,22
6,6,24,31,32,38,44,8
7,2,19,26,31,38,41,34
8,1,9,12,13,20,45,3
9,11,13,14,15,16,45,3
10,3,4,9,30,33,36,7
11,15,16,17,25,30,31,32
12,7,12,23,32,34,36,8
13,10,16,19,32,33,38,3
14,11,13,20,21,32,44,8
15,16,20,26,36,42,44,24
16,3,13,30,33,43,45,4
17,3,7,11,20,22,41,24
18,10,12,13,19,33,40,2
19,7,19,26,37,39,44,27
20,6,14,30,31,40,41,29
21,1,3,4,29,42,45,36
22,6,16,34,37,39,40,11
23,1,7,21,30,35,38,2
24,10,12,29,31,40,44,2
25,13,14,22,26,37,38,20
26,6,7,13,28,36,42,41
27,17,26,29,30,31,43,12
28,3,20,28,38,40,43,4
29,12,16,21,24,41,43,15
30,14,33,34,35,37,40,4
31,1,12,16,19,23,43,34
32,8,14,28,29,34,40,12
33,6,7,15,22,26,40,41
34,10,17,22,30,35,43,44
35,7,18,19,26,33,45,37
36,6,20,23,24,28,30,44
37,12,19,21,29,40,45,1
38,4,18,31,37,42,43,40
39,11,21,22,30,39,44,31
40,13,14,18,21,34,44,16
41,11,16,25,27,35,36,37
42,4,7,17,18,38,44,36
43,8,12,13,29,33,42,5
44,3,7,14,15,22,38,17
45,21,26,27,32,34,42,31
46,1,9,16,23,24,38,17
47,13,16,23,31,36,44,38
48,4,8,18,24,37,45,6
49,6,10,11,14,36,38,43
50,4,8,17,30,40,43,34
51,3,7,9,33,36,37,10
52,1,23,24,35,44,45,10
53,1,6,20,27,28,41,15
54,6,18,28,30,32,38,15
55,16,18,20,23,32,43,27
56,1,2,11,21,30,35,39
57,3,6,14,22,30,41,36
58,1,10,18,22,28,31,44
59,4,7,19,26,33,35,3
60,7,10,19,23,28,33,18
61,6,11,16,19,21,32,45
62,3,18,19,23,32,45,24
63,3,6,9,18,22,35,14
64,3,6,22,23,24,38,30
65,20,31,32,40,41,45,12
66,4,24,27,35,37,45,15
67,3,10,24,33,38,45,36
68,7,10,22,25,34,40,27
69,11,23,25,30,32,40,42
70,8,13,19,27,40,45,12
71,13,20,24,32,36,45,29
72,4,7,12,14,22,33,31
73,14,19,27,28,30,45,33
74,22,26,29,30,34,45,15
75,5,17,26,27,35,38,1
76,21,26,30,32,33,35,44
77,6,12,31,35,38,43,17
78,3,5,13,20,21,37,17
79,6,12,17,21,32,39,30
80,2,20,33,40,42,44,32
81,7,16,25,29,35,36,28
82,6,14,15,19,21,41,37
83,12,17,20,26,28,36,4
84,3,5,12,22,26,31,19
85,5,14,15,23,34,43,4
86,6,7,9,11,17,18,45
87,8,16,26,29,31,36,11
88,2,3,6,19,36,39,26
89,7,16,24,27,37,44,2
90,2,14,15,22,27,33,31
91,2,5,22,32,34,45,39
92,9,14,34,35,41,42,2
93,26,31,32,33,38,40,11
94,3,11,15,20,35,44,10
95,1,6,12,19,36,42,28
96,6,7,22,32,35,36,19
97,2,5,11,17,24,29,9
98,12,30,32,37,39,41,24
99,5,7,12,13,18,35,23
100,14,16,27,35,39,45,5
101,5,12,13,31,32,41,34
102,8,9,20,25,29,33,7
103,9,18,20,22,38,44,10
104,10,14,16,18,29,35,25
105,5,6,11,29,42,45,28
106,12,15,17,24,29,45,16
107,12,27,29,38,41,45,6
108,1,4,13,17,34,39,6
109,3,19,21,25,37,45,35
110,12,18,22,23,30,34,32
111,15,26,28,34,41,42,44
112,14,23,31,33,37,40,44
113,3,11,14,18,26,27,21
114,21,22,26,34,36,41,32
115,5,11,18,20,35,45,3
116,1,9,12,26,35,38,42
117,9,12,15,25,34,36,3
118,15,23,29,34,40,44,20
119,9,11,30,31,41,44,33
120,8,11,16,19,21,25,40
121,8,11,15,16,17,37,36
122,8,13,18,24,27,29,17
123,7,15,30,37,39,44,18
124,1,4,29,39,43,45,31
125,17,25,33,35,38,45,15
126,6,10,12,14,20,42,15
127,2,8,19,22,32,42,39
128,1,3,9,14,18,28,34
129,13,17,18,20,42,45,41
130,4,7,14,16,24,44,20
131,6,11,15,24,32,39,28
132,1,4,13,29,38,39,7
133,1,3,8,24,27,35,28
134,6,14,16,18,24,42,44
135,12,20,26,33,44,45,24
136,13,18,25,31,33,44,38
137,2,4,25,26,36,37,28
138,17,18,21,27,29,33,26
139,2,13,20,30,31,41,27
140,2,4,15,23,29,38,7
141,7,10,16,28,41,42,40
142,17,21,23,30,34,44,19
143,3,10,23,35,36,37,18
144,13,23,26,31,35,43,15
145,5,7,13,20,21,44,33
146,27,36,37,41,43,45,32
147,3,13,16,23,24,35,14
148,7,11,16,21,27,33,24
149,1,7,15,32,34,42,8
150,2,9,10,14,22,44,16
151,4,12,14,25,35,37,2
152,7,8,9,17,22,24,5
153,1,2,11,16,39,44,32
154,22,26,31,37,41,42,24
155,3,6,17,23,37,39,26
156,2,6,17,18,21,26,7
157,9,11,16,21,28,36,5
158,3,9,10,29,40,45,7
159,2,5,12,14,24,39,33
160,1,6,13,37,38,40,9
161,1,21,25,29,34,37,36
162,2,13,25,28,29,36,34
163,6,21,36,38,39,43,30
164,6,12,19,23,34,42,35
165,1,18,28,31,34,43,40
166,11,20,29,31,33,42,43
167,2,18,24,30,32,45,14
168,1,14,15,24,40,41,35
169,2,9,10,16,35,37,1
170,4,15,24,35,36,40,1
171,10,11,20,21,25,41,40
172,4,9,23,26,29,33,8
173,1,9,26,28,30,41,32
174,7,9,22,27,37,42,34
175,4,12,22,24,33,41,38
176,2,12,30,31,39,43,38
177,3,4,15,22,28,40,10
178,14,21,35,36,40,44,30
179,13,18,30,31,38,41,5
180,3,8,17,20,27,35,26
181,9,18,19,30,34,40,20
182,9,10,15,30,33,37,26
183,2,13,16,19,32,33,42
184,1,8,13,36,44,45,39
185,10,12,18,35,42,43,39
186,12,14,25,27,39,40,35
187,3,15,20,22,24,41,11
188,4,11,28,39,42,45,6
189,4,8,10,16,31,36,9
190,2,10,13,22,29,40,26
191,7,11,13,17,18,29,43
192,4,10,20,32,38,44,18
193,1,3,30,33,36,39,12
194,23,27,29,31,36,45,37
195,1,6,15,36,37,38,5
196,14,15,23,25,35,43,32
197,8,21,25,38,39,44,28
198,7,9,12,15,19,23,4
199,3,4,10,20,28,44,30
200,4,15,22,38,41,43,26
201,10,16,18,20,25,31,6
202,13,24,32,34,39,42,4
203,3,11,34,42,43,44,13
204,3,17,18,23,36,41,26
205,2,6,13,17,27,43,36
206,5,7,12,22,28,41,1
207,2,3,26,33,34,43,29
208,9,14,17,18,42,44,35
209,7,11,12,31,33,38,5
210,1,3,23,24,27,43,34
211,6,21,22,32,35,36,17
212,2,6,11,13,22,37,14
213,16,19,24,33,42,44,27
214,6,14,16,21,27,37,40
215,5,8,18,21,22,38,10
216,4,5,12,14,32,42,35
217,1,11,17,27,35,39,31
218,7,24,29,30,34,35,33
219,3,16,21,22,23,44,30
220,21,27,29,38,40,44,37
221,2,5,14,28,31,32,20
222,3,4,16,27,38,40,20
223,2,6,8,26,43,45,11
224,2,15,16,21,22,28,45
225,7,19,23,24,36,39,30
226,5,18,20,23,30,34,21
227,7,13,16,18,35,38,14
228,8,19,20,21,33,39,37
229,18,21,28,35,37,42,17
230,6,7,12,22,26,36,29
231,5,12,25,26,38,45,23
232,16,26,31,38,39,41,23
233,19,32,37,40,41,43,45
234,1,15,17,23,25,41,10
235,4,9,17,18,26,42,36
236,9,13,28,31,39,41,19
237,1,4,14,18,29,37,6
238,3,13,29,38,39,42,26
239,3,7,12,31,34,38,32
240,8,14,17,27,36,45,10
241,19,23,28,37,42,45,2
242,1,3,24,27,39,45,31
243,4,14,23,28,37,45,17
244,9,18,32,33,37,44,22
245,18,34,39,43,44,45,23
246,4,18,20,26,27,32,9
247,7,17,19,23,24,45,38
248,1,4,10,14,15,35,20
249,2,6,11,16,25,31,3
250,5,17,18,22,23,43,12
251,5,16,21,26,34,42,24
252,19,22,30,34,39,44,36
253,1,15,19,23,28,42,32
254,3,5,12,13,33,39,38
255,2,4,30,32,33,43,29
256,2,6,12,26,30,34,38
257,21,25,30,32,40,42,31
258,2,6,20,27,37,39,4
259,12,17,28,41,43,44,25
260,14,17,19,22,24,40,41
261,9,15,29,34,37,39,12
262,3,15,22,32,33,45,2
263,3,7,10,13,25,36,32
264,16,21,28,35,39,43,12
265,10,34,38,40,42,43,32
266,11,17,19,21,22,25,24
267,4,8,18,25,27,32,42
268,8,22,35,38,39,41,24
269,9,13,32,38,39,43,23
270,6,10,16,28,34,38,43
271,10,24,40,41,43,44,17
272,8,15,17,19,43,44,7
273,20,25,31,32,36,43,3
274,2,8,23,26,27,44,13
275,11,17,28,30,33,35,9
276,14,18,22,26,31,44,40
277,16,20,24,28,36,39,5
278,5,13,17,29,34,39,3
279,1,2,16,22,38,39,34
280,12,16,26,28,30,42,22
281,5,18,30,41,43,45,13
282,1,16,29,33,40,45,6
283,7,8,13,15,33,45,18
284,19,21,30,33,34,42,4
285,14,26,32,36,39,42,38
286,5,11,14,30,33,38,24
287,2,4,11,28,29,43,27
288,3,9,11,12,13,19,35
289,9,14,17,33,36,38,20
290,2,25,28,30,33,45,6
291,1,9,11,14,26,28,19
292,9,10,13,28,38,45,35
293,6,8,18,35,42,43,3
294,12,18,30,39,41,42,19
295,13,14,19,26,40,43,30
296,3,10,16,19,31,39,9
297,5,6,16,18,37,38,17
298,4,5,31,35,43,45,29
299,4,7,13,29,31,39,18
300,5,11,12,29,33,44,14
301,13,16,24,25,33,36,42
302,8,15,21,31,33,38,42
303,7,9,24,29,34,38,26
304,12,18,24,26,39,40,15
305,9,18,20,24,27,36,12
306,1,12,13,24,29,44,16
307,10,21,22,30,35,42,6
308,16,25,33,38,40,45,15
309,14,15,25,28,29,30,3
310,3,9,12,13,25,43,34
311,12,18,19,29,31,39,7
312,17,21,25,26,27,36,4
313,2,21,28,38,42,45,30
314,11,30,34,35,42,44,27
315,1,3,12,14,16,43,10
316,8,11,19,21,36,45,25
317,5,10,13,21,39,43,11
318,6,11,15,17,23,40,39
319,15,21,31,32,41,43,24
320,6,10,18,25,34,35,33
321,14,20,23,31,37,38,27
322,3,12,13,18,31,32,42
323,1,10,13,26,32,36,9
324,5,9,14,26,30,43,2
325,10,11,12,18,24,42,27
326,17,25,28,37,43,44,2
327,1,4,10,12,28,45,26
328,12,17,23,34,42,45,33
329,2,10,14,22,32,36,41
330,5,22,31,32,39,45,36
331,1,21,26,36,40,41,5
332,3,10,13,26,34,38,36
333,6,7,18,19,30,38,13
334,10,15,21,35,38,43,31
335,2,7,19,25,29,36,16
336,2,10,12,31,33,42,32
337,3,8,19,27,30,41,12
338,2,6,7,12,19,45,38
339,2,10,11,19,35,39,29
340,5,6,13,16,27,28,9
341,12,15,16,20,24,30,38
342,4,6,15,25,26,33,40
343,3,10,23,24,31,39,22
344,14,15,16,17,38,45,36
345,6,18,31,34,38,45,20
346,11,16,18,19,24,39,43
347,15,17,19,21,27,45,16
348,6,12,19,24,34,41,4
349,6,21,35,36,37,41,11
350,6,12,17,21,34,37,18
351,8,9,18,21,28,40,20
352,11,12,29,33,38,42,17
353,12,15,18,28,34,42,9
354,8,12,19,21,31,35,44
355,5,6,11,14,21,41,32
356,6,10,17,18,21,29,30
357,1,9,12,23,39,43,34
358,5,7,11,16,41,45,4
359,7,27,29,30,38,44,4
360,5,15,20,31,34,42,22
361,9,30,34,35,39,41,21
362,1,3,8,12,42,43,33
363,7,22,24,31,34,36,15
364,3,8,16,32,34,43,10
365,1,3,12,21,26,41,16
366,4,7,11,24,42,45,30
367,10,22,27,31,42,43,12
368,9,33,36,40,42,43,32
369,5,9,12,30,39,43,24
370,6,7,11,17,33,44,1
371,10,14,16,18,27,28,4
372,13,14,26,28,30,36,37
373,2,8,17,24,29,31,32
374,2,17,19,24,37,41,3
375,4,16,20,33,40,43,7
376,3,4,16,20,28,44,17
377,1,2,15,19,24,36,12
378,12,14,24,26,34,45,41
379,3,10,13,22,31,32,29
380,7,9,12,14,23,28,17
381,3,12,33,36,42,45,25
382,1,2,3,9,12,23,10
383,10,15,18,21,34,41,43
384,15,19,21,34,41,44,10
385,8,10,13,36,37,40,6
386,5,21,27,34,44,45,16
387,4,8,9,16,17,19,31
388,7,22,29,33,34,35,30
389,23,27,28,38,42,43,36
390,13,15,18,24,27,41,11
391,2,11,17,18,21,27,6
392,5,10,13,27,37,41,4
393,6,16,37,38,41,45,18
394,11,24,32,33,35,40,13
395,2,4,5,17,27,32,43
396,2,7,13,25,42,45,39
397,4,10,14,15,18,22,39
398,11,17,21,26,36,45,16
399,3,6,10,30,34,37,36
400,7,8,10,19,21,31,20
401,1,11,21,23,34,44,24
402,6,7,19,21,41,43,38
403,2,8,33,35,37,41,14
404,20,30,33,35,36,44,22
405,12,14,21,30,39,43,45
406,1,28,35,41,43,44,31
407,1,12,29,34,36,37,41
408,4,8,13,19,20,43,26
409,4,11,20,23,32,39,40
410,2,11,19,25,28,32,44
411,2,6,13,16,29,30,21
412,2,7,27,33,41,44,10
413,1,7,22,33,37,40,20
414,2,5,15,18,19,23,44
415,17,20,30,31,33,45,19
416,11,15,24,35,37,45,42
417,3,4,9,24,25,33,10
418,10,18,30,36,39,44,32
419,2,10,16,19,34,45,1
420,2,12,19,24,39,44,35
421,3,4,6,10,28,30,37
422,1,6,17,22,28,45,23
423,1,4,8,23,33,42,45
424,10,28,31,33,41,44,21
425,3,13,16,24,26,29,9
426,3,10,14,16,36,38,35
427,11,23,28,29,30,44,13
428,4,5,8,16,21,29,3
429,3,11,13,21,33,37,18
430,2,5,8,11,33,39,31
431,1,7,16,18,34,38,21
432,4,18,26,33,34,38,14
433,7,15,20,25,33,43,12
434,1,6,11,28,34,42,30
435,3,11,14,15,32,36,44
436,15,27,33,35,43,45,16
437,24,25,33,34,38,39,43
438,7,17,19,30,36,38,34
439,5,15,22,23,34,35,2
440,1,8,10,13,28,42,45
441,7,12,15,24,25,43,13
442,6,7,12,28,38,40,18
443,1,11,15,17,25,39,40
444,6,13,20,27,28,40,15
445,17,23,27,35,38,43,2
446,21,24,27,29,43,44,7
447,4,10,19,29,32,42,30
448,3,5,7,14,26,34,35
449,4,5,6,12,25,37,45
450,12,15,24,36,41,44,42
451,1,8,17,34,39,45,27
452,1,8,11,15,18,45,7
453,9,10,14,25,27,31,11
454,7,10,17,29,33,44,5
455,8,21,28,31,36,45,43
456,7,9,10,13,31,35,24
457,11,18,26,27,40,41,25
458,7,8,20,29,33,38,9
459,12,14,15,24,27,32,3
460,15,17,25,37,42,43,13
461,2,4,6,11,17,28,16
462,5,6,11,17,38,44,13
463,10,20,33,36,41,44,5
464,3,5,8,19,38,42,20
465,5,6,9,11,15,37,26
466,2,3,12,20,27,38,40
467,4,9,23,33,39,44,14
468,7,18,19,27,29,42,45
469,8,19,25,28,32,36,37
470,10,14,19,39,40,43,23
471,3,7,14,16,31,40,39
472,7,37,38,39,40,44,18
473,16,21,26,31,36,43,6
474,5,6,26,27,38,39,1
475,3,13,15,40,41,44,20
476,11,12,16,26,29,44,18
477,3,4,7,11,31,41,35
478,3,21,22,33,41,42,20
479,13,19,28,37,38,43,4
480,5,16,21,23,24,30,29
481,2,9,24,41,43,45,30
482,1,4,16,26,40,41,31
483,5,13,17,23,28,36,8
484,15,24,31,32,33,40,13
485,8,17,18,24,39,45,32
486,11,18,21,36,37,43,12
487,14,15,18,21,26,35,23
488,6,15,22,23,25,32,40
489,7,18,22,24,31,34,6
490,3,16,22,37,38,44,23
491,6,7,15,16,20,31,26
492,11,13,25,26,29,33,32
493,4,10,11,12,20,27,38
494,9,12,19,20,39,41,13
495,15,18,21,32,35,44,6
496,1,2,4,23,31,34,8
497,8,17,21,24,27,31,15
498,19,28,31,38,43,44,1
499,1,7,12,15,23,42,11
500,2,9,22,25,31,45,12
501,13,14,26,33,40,43,15
502,3,6,7,20,21,39,13
503,1,7,19,26,27,35,16
504,7,13,30,39,41,45,25
505,9,15,16,21,28,34,24
506,1,2,6,16,19,42,9
507,2,16,17,32,39,45,40
508,6,8,13,30,35,40,21
509,8,16,25,30,42,43,15
510,4,5,11,12,24,27,28
511,5,13,18,23,40,45,3
512,10,17,18,19,23,27,35
513,8,21,25,39,40,44,18
514,7,8,11,16,41,44,35
515,6,9,18,19,25,33,40
516,2,22,27,33,36,37,14
517,14,18,20,23,28,36,33
518,4,8,27,34,39,40,13
519,4,8,18,19,39,44,41
520,8,14,23,36,38,39,13
521,1,5,6,14,20,39,22
522,1,2,7,9,10,38,42
523,2,6,18,21,33,34,30
524,2,19,25,26,27,43,28
525,13,14,22,27,30,38,2
526,2,16,19,31,34,35,37
527,5,11,14,27,29,36,44
528,5,12,17,29,34,35,27
529,4,12,24,33,38,45,22
530,8,10,23,24,35,43,37
531,3,4,12,14,25,43,17
532,8,24,28,35,38,40,5
533,2,8,13,25,28,37,3
534,9,10,13,24,33,38,28
535,2,5,6,13,28,44,43
536,8,13,14,30,38,39,5
537,20,30,36,38,41,45,23
538,6,8,28,33,38,39,22
539,2,8,15,22,25,41,30
540,14,21,29,31,32,37,17
541,2,7,12,15,21,34,5
542,6,7,10,16,38,41,4
543,7,18,30,39,40,41,36
544,8,17,27,33,40,44,24
545,2,12,14,33,40,41,25
546,3,5,14,20,42,44,33
547,5,7,9,11,32,35,33
548,5,7,20,22,37,42,39
549,5,12,14,32,34,42,16
550,16,17,22,31,34,37,33
551,10,11,15,25,35,41,13
552,2,8,20,30,33,34,6
553,14,15,16,19,25,43,2
554,2,4,20,34,35,43,14
555,3,13,18,33,37,45,1
556,11,18,21,26,38,43,29
557,1,12,26,27,29,33,42
558,3,6,13,23,24,35,1
559,1,3,17,20,31,44,40
560,1,10,15,16,32,41,28
561,4,5,6,25,26,43,41
562,4,10,18,27,40,45,38
563,14,19,25,26,27,34,2
564,5,10,16,17,31,32,21
565,4,11,13,17,20,31,33
566,5,7,18,37,42,45,20
567,1,4,20,23,29,45,28
568,11,12,25,32,44,45,23
569,12,15,19,26,40,43,29
570,4,20,26,28,35,40,31
571,12,20,23,28,30,44,43
572,11,17,21,24,26,36,12
573,13,14,17,32,41,42,6
574,2,7,17,28,29,39,37
575,1,10,20,32,35,40,43
576,3,6,20,24,27,44,25
577,1,7,14,20,34,37,41
